iter	Passed	Remaining
821	9608	2080
822	9618	2068
823	9626	2056
824	9636	2044
825	9644	2031
826	9655	2019
827	9664	2007
828	9673	1995
829	9684	1983
830	9692	1971
831	9703	1959
832	9711	1947
833	9723	1935
834	9733	1923
835	9741	1910
836	9751	1899
837	9759	1886
838	9770	1874
839	9777	1862
840	9787	1850
841	9797	1838
842	9805	1826
843	9815	1814
844	9823	1801
845	9833	1790
846	9842	1777
847	9852	1766
848	9863	1754
849	9871	1742
850	9882	1730
851	9890	1718
852	9900	1706
853	9907	1693
854	9918	1682
855	9929	1670
856	9937	1658
857	9947	1646
858	9955	1634
859	9966	1622
860	9975	1610
861	9983	1598
862	9993	1586
863	10001	1574
864	10011	1562
865	10018	1550
866	10028	1538
867	10035	1526
868	10046	1514
869	10055	1502
870	10065	1490
871	10075	1478
872	10082	1466
873	10092	1454
874	10100	1442
875	10109	1431
876	10117	1418
877	10126	1407
878	10134	1395
879	10144	1383
880	10151	1371
881	10161	1359
882	10169	1347
883	10179	1335
884	10188	1323
885	10197	1312
886	10206	1300
887	10215	1288
888	10224	1276
889	10232	1264
890	10241	1252
891	10249	1240
892	10259	1229
893	10267	1217
894	10277	1205
895	10287	1194
896	10295	1182
897	10305	1170
898	10314	1158
899	10325	1147
900	10333	1135
901	10343	1123
902	10352	1112
903	10361	1100
904	10370	1088
905	10380	1076
906	10389	1065
907	10397	1053
908	10407	1041
909	10415	1030
910	10425	1018
911	10435	1006
912	10444	995
913	10456	983
914	10470	972
915	10479	961
916	10491	949
917	10503	938
918	10513	926
919	10526	915
920	10538	903
921	10552	892
922	10561	881
923	10572	869
924	10583	858
925	10591	846
926	10600	834
927	10609	823
928	10619	811
929	10627	799
930	10638	788
931	10648	776
932	10657	765
933	10669	753
934	10677	742
935	10688	730
936	10698	719
937	10707	707
938	10719	696
939	10726	684
940	10737	673
941	10747	661
942	10756	650
943	10767	638
944	10775	627
945	10786	615
946	10797	604
947	10805	592
948	10817	581
949	10824	569
950	10835	558
951	10845	546
952	10854	535
953	10865	523
954	10873	512
955	10884	500
956	10894	489
957	10903	478
958	10915	466
959	10923	455
960	10935	443
961	10945	432
962	10953	420
963	10965	409
964	10977	398
965	10987	386
966	11000	375
967	11014	364
968	11023	352
969	11034	341
970	11044	329
971	11052	318
972	11063	307
973	11071	295
974	11082	284
975	11092	272
976	11100	261
977	11111	249
978	11119	238
979	11130	227
980	11141	215
981	11150	204
982	11162	193
983	11171	181
984	11181	170
985	11191	158
986	11199	147
987	11212	136
988	11221	124
989	11230	113
990	11245	102
991	11256	90
992	11264	79
993	11276	68
994	11284	56
995	11310	45
996	11337	34
997	11371	22
998	11414	11
999	11455	0
